index,affluence,cultivation,employment,education,status,morality,leadership,prosociality,eo,global_citizenship,_stack,commonappid
161,.020214053,.038330186,.065848179,.057000544,.028217781,.068926938,.068403758,-.010705709,.033671834,.002622569,3,14124631
162,.13200101,.15289524,.029126259,.13169314,.032710444,.083100706,-.082241707,.053958967,.17692108,.069039457,1,14129646
163,.055524074,.14468622,.044126965,.032293543,-.0013260356,.21043371,.053194508,.088475153,.11875982,.1184558,2,14129646
164,.016512271,.15078789,.0052695475,.18663877,.015697118,.063633248,.041698385,-.027317546,.25728691,.052770458,3,14129646
165,-.078134447,.013106984,.06201325,-.010703557,-.030727807,-.0054909992,-.0065746196,-.047858991,.06484025,-.014358702,1,14130503
166,.032306857,-.014062743,-.034406573,-.032632764,-.052900642,.029237742,.15892392,.12752795,.046134111,.11401737,2,14130503
167,.03659733,.11540388,.050470173,.16308528,.019765848,.18334307,.053766578,.035595015,.14916098,.062557675,3,14130503
168,.020499708,.093093313,-.0044118138,.045324553,-.0021932514,.047291592,.1121483,.065135069,.1534747,.0022473068,1,14130805
169,.14937051,.11459084,-.051042609,.12901716,.17388567,.13782704,.033824589,.20634551,.1911836,.13757288,2,14130805
170,.0021678726,.13157369,.10146252,.077432506,.064556189,-.0050284225,.015214619,.12917332,.20424949,.16856419,3,14130805
171,.077154033,.11453315,.039958902,.06100842,.1078364,.110787,.071676858,.075248897,.15993014,.13157395,1,14131264
172,-.096856572,.07050617,.009241919,-.028524702,-.037156232,.15329951,.057407983,.13458416,-.0042576743,.21836954,2,14131264
173,.006282913,.097293504,.0078327907,-.0010850972,-.044539172,.04876899,-.03092769,.058315746,.054326031,.1564329,3,14131264
174,.03307439,.12078309,-.034957007,.1090057,.063639134,.17317575,.11834524,.10771834,.08935827,.10476181,1,14131546
175,.059283558,.079466283,-.1010556,-.024289098,.0017120759,.06803935,.09563107,-.0096883504,.10411295,.051193155,2,14131546
176,-.013977475,.16802788,.010484595,.19818786,.053356096,.17786126,.10326069,.051554658,.24755771,.072465904,3,14131546
177,.020630959,.025760381,.082659729,-.017503744,-.14668097,.040672328,-.11369316,-.1931971,-.084684625,-.063671403,1,14131572
178,.023926493,.11735437,.0074283145,.11216763,.058700301,.16232523,.045344826,.065815501,.0093393028,.11972673,2,14131572
179,.045023888,.17854752,-.038619671,.16507393,.12050632,.122363,.13906759,.16773972,.18436478,.1749275,3,14131572
180,-.020216072,.0050510466,.023757152,-.038730826,-.076061167,.058994949,-.024447326,.0043127188,.041147225,-.034623407,1,14134194
181,-.02040042,.041953139,-.0025672494,.056998819,.027394416,.14813852,.12476319,.038592033,.07217788,.086080991,2,14134194
182,.042246126,.1725134,-.014737993,.10242621,.0082733892,.25555637,.15935449,.13003139,.051646389,.11148956,3,14134194
183,-.070837907,-.00065419619,-.0710048,.054098938,-.0015762722,.047282908,.040500384,.11460155,.056171816,-.039951816,1,14134379
